inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,firework,high,within_subjects_deltas,distal,punish,CH - CC,58,0.2160474439811283,0.20415503012019776,0.3235488155808663
included_only,firework,high,within_subjects_deltas,distal,punish,DIV - CC,58,0.1659302330209235,0.20415503012019776,0.3438553321087205
included_only,firework,high,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",58,0.031044289149798412,0.0,0.3069001168459882
included_only,firework,high,within_subjects_deltas,proximate,punish,CC - CH,58,2.275367808844426,2.3978952727983707,0.6246220598574445
included_only,firework,low,within_subjects_all_vignettes,distal,blame,CC,56,7.928571428571429,8.0,0.7829348714848592
included_only,firework,low,within_subjects_all_vignettes,distal,blame,CH,56,8.357142857142858,8.0,0.6158090444454183
included_only,firework,low,within_subjects_all_vignettes,distal,blame,DIV,56,8.214285714285714,8.0,0.7061878636037997
included_only,firework,low,within_subjects_all_vignettes,distal,wrong,CC,56,7.928571428571429,8.0,1.109580475300837
included_only,firework,low,within_subjects_all_vignettes,distal,wrong,CH,56,8.285714285714286,9.0,0.8678978933300583
included_only,firework,low,within_subjects_all_vignettes,distal,wrong,DIV,56,7.839285714285714,8.0,1.3983988989267262
included_only,firework,low,within_subjects_all_vignettes,distal,punish,CC,56,2.0535913654392663,2.0794415416798357,0.3850972985373187
included_only,firework,low,within_subjects_all_vignettes,distal,punish,CH,56,2.1960701015989024,2.0794415416798357,0.3943807973679421
included_only,firework,low,within_subjects_all_vignettes,distal,punish,DIV,56,2.1467293600236173,2.0794415416798357,0.3594881357493683
included_only,firework,low,within_subjects_all_vignettes,proximate,blame,CC,56,8.857142857142858,9.0,0.3530939318018998
included_only,firework,low,within_subjects_all_vignettes,proximate,blame,CH,56,2.6964285714285716,3.0,0.8072319224506527
included_only,firework,low,within_subjects_all_vignettes,proximate,wrong,CC,56,8.857142857142858,9.0,0.3530939318018998
included_only,firework,low,within_subjects_all_vignettes,proximate,wrong,CH,56,3.8035714285714284,4.0,1.6670021307413208
included_only,firework,low,within_subjects_all_vignettes,proximate,punish,CC,56,2.595341736762827,2.3978952727983707,0.3590272354208589
included_only,firework,low,within_subjects_all_vignettes,proximate,punish,CH,56,0.4675579438903728,0.0,0.6501663091126939
included_only,firework,low,between_subjects_first_vignette,distal,blame,CC,15,7.6,8.0,0.6324555320336759
included_only,firework,low,between_subjects_first_vignette,distal,blame,CH,15,7.866666666666666,8.0,0.5163977794943222
included_only,firework,low,between_subjects_first_vignette,distal,blame,DIV,26,7.6923076923076925,8.0,0.5491251783869153
included_only,firework,low,between_subjects_first_vignette,distal,wrong,CC,15,7.933333333333334,8.0,0.7037315505489967
included_only,firework,low,between_subjects_first_vignette,distal,wrong,CH,15,8.133333333333333,8.0,0.7432233529572067
included_only,firework,low,between_subjects_first_vignette,distal,wrong,DIV,26,6.846153846153846,7.0,1.4612955263685081
included_only,firework,low,between_subjects_first_vignette,distal,punish,CC,15,1.9912000396527298,1.791759469228055,0.3233026208323191
included_only,firework,low,between_subjects_first_vignette,distal,punish,CH,15,1.879601610747952,1.791759469228055,0.22913809345638259
included_only,firework,low,between_subjects_first_vignette,distal,punish,DIV,26,1.9537663525482647,1.791759469228055,0.32547993273652803
included_only,firework,low,within_subjects_deltas,distal,blame,CH - CC,56,0.42857142857142855,1.0,0.8497516825978764
included_only,firework,low,within_subjects_deltas,distal,blame,DIV - CC,56,0.2857142857142857,0.0,0.7314813292661236
included_only,firework,low,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",56,-0.017857142857142856,0.0,0.7743870638610414
included_only,firework,low,within_subjects_deltas,proximate,blame,CC - CH,56,6.160714285714286,6.0,0.8898781472106824
included_only,firework,low,within_subjects_deltas,distal,wrong,CH - CC,56,0.35714285714285715,0.5,0.8186146041513492
included_only,firework,low,within_subjects_deltas,distal,wrong,DIV - CC,56,-0.08928571428571429,0.0,1.1485450988776382
included_only,firework,low,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",56,-0.2857142857142857,0.0,1.1865041962809098
included_only,firework,low,within_subjects_deltas,proximate,wrong,CC - CH,56,5.053571428571429,5.0,1.6227882050475837
included_only,firework,low,within_subjects_deltas,distal,punish,CH - CC,56,0.14247873615963616,0.27193371548364187,0.2907093472724787
included_only,firework,low,within_subjects_deltas,distal,punish,DIV - CC,56,0.09313799458435082,0.05889151782819191,0.3383167488860219
included_only,firework,low,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",56,-0.040790028929889165,0.0,0.3044053974938224
included_only,firework,low,within_subjects_deltas,proximate,punish,CC - CH,56,2.127783792872454,2.3978952727983707,0.47797211421342667
